Student ID,Incident Description,Incident Place,Action,Date
77551775753,Incident that happened,Halls,PRINCIPAL/STUDENT CONFERENCE,11/19/2018
77551775753,Incident that happened,Halls,PRINCIPAL/STUDENT CONFERENCE,12/17/2018
77551775753,Incident that happened,Gym,1 DAY ISS,3/14/2019
77551775753,Incident that happened,Classroom,1 DAY ISS,4/4/2019
77551775753,Incident that happened,Halls,1 DAY ISS,4/24/2019
77551775753,Incident that happened,Classroom,2 DAYS ISS,4/29/2019
77179191197,Incident that happened,School Bus,OFF OF BUS 3 DAYS,12/6/2018
77179191197,Incident that happened,School Bus,PRINCIPAL/STUDENT CONFERENCE,2/25/2019
77179191197,Incident that happened,School Bus,OFF OF BUS 5 DAYS,4/2/2019
71573793353,Incident that happened,Halls,PRINCIPAL/STUDENT CONFERENCE,11/13/2018
71573793353,Incident that happened,Gym,1/2 DAY ISS,12/3/2018
71573793353,Incident that happened,Halls,1 DAY ISS,12/10/2018
71573793353,Incident that happened,Classroom,1/2 DAY OSS,12/13/2018
71573793353,Incident that happened,Halls,PRINCIPAL/STUDENT CONFERENCE,12/20/2018
71573793353,Incident that happened,Classroom,1 DAY ISS,1/24/2019
71573793353,Incident that happened,Gym,1 DAY ISS,2/22/2019
71573793353,Incident that happened,School Bus,OFF OF BUS 3 DAYS,2/27/2019
71573793353,Incident that happened,Classroom,1 DAY ISS,3/18/2019
71573793353,Incident that happened,Classroom,1 DETENTION ASSIGNED,4/10/2019
71573793353,Incident that happened,School Bus,PRINCIPAL/STUDENT CONFERENCE,4/11/2019
71573793353,Incident that happened,Classroom,1 DETENTION ASSIGNED,4/17/2019
71573793353,Incident that happened,Halls,PRINCIPAL/STUDENT CONFERENCE,4/25/2019
71573793353,Incident that happened,Halls,RESTITUTION,5/9/2019
71573793353,Incident that happened,Classroom,1 DETENTION ASSIGNED,5/14/2019
71573793353,Incident that happened,Classroom,1 DETENTION ASSIGNED,5/14/2019
71573793353,Incident that happened,Classroom,1 DETENTION ASSIGNED,5/28/2019
73517913979,Incident that happened,Classroom,,
77377939755,Incident that happened,School Bus,PRINCIPAL/STUDENT CONFERENCE,2/25/2019
79913795933,Incident that happened,Classroom,REMOVED FROM CLASS,11/19/2018
79913795933,Incident that happened,Halls,REMOVED FROM CLASS,12/14/2018
79913795933,Incident that happened,Classroom,PRINCIPAL/STUDENT CONFERENCE,1/24/2019
79913795933,Incident that happened,Classroom,REMOVED FROM CLASS,2/11/2019
79913795933,Incident that happened,Classroom,2 HOURS ISS,2/12/2019
79913795933,Incident that happened,Classroom,PRINCIPAL/STUDENT CONFERENCE,2/19/2019
79913795933,Incident that happened,Classroom,,
79913795933,Incident that happened,Cafeteria,PARENT CONTACT / CONFERENCE,2/26/2019
79913795933,Incident that happened,Classroom,PARENT CONTACT / CONFERENCE,3/1/2019
79913795933,Incident that happened,Classroom,2 HOURS ISS,3/4/2019
79913795933,Incident that happened,Office,PERIOD ISS,3/5/2019
79913795933,Incident that happened,Classroom,1/2 DAY OSS,3/6/2019
79913795933,Incident that happened,Classroom,PRINCIPAL/STUDENT CONFERENCE,3/8/2019
79913795933,Incident that happened,Classroom,LUNCH DETENTION,3/11/2019
79913795933,Incident that happened,Classroom,PERIOD ISS,3/11/2019
79913795933,Incident that happened,Classroom,LUNCH DETENTION,3/12/2019
79913795933,Incident that happened,Classroom,PRINCIPAL/STUDENT CONFERENCE,3/13/2019
79913795933,Incident that happened,Classroom,1/2 DAY OSS,3/13/2019
79913795933,Incident that happened,Classroom,LUNCH DETENTION,3/15/2019
